Apellido,Nombre,Distrito,Designación.Legal,Cese.Legal,Partido.o.alianza.con.la.que.ingresó,Bloque,A.favor.o.en.contra,Fuente...Enlace,Email,Telefono,Twitter,Facebook,Instagram,Following,Followers
Vigo,Alejandra maría,CÓRDOBA,2021-12-10,2027-12-09,HACEMOS POR CÓRDOBA,UNIDAD FEDERAL,SIN DATOS,,alejandra.vigo@senado.gob.ar,1441 / 1444 / 1456,alevigo,VigoAlejandra,vigo_alejandra,448,14600
De angeli,Alfredo luis,ENTRE RÍOS,2019-12-10,2025-12-09,JUNTOS POR EL CAMBIO,FRENTE PRO,SIN DATOS,,alfredo.deangeli@senado.gob.ar,3580/81/82/83/84,alfredodeangeli,alfredodeangeli,alfredodeangeli,464,37300
Kirchner,Alicia margarita antonia,SANTA CRUZ,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,UNIDAD CIUDADANA,EN CONTRA,,alicia.kirchner@senado.gob.ar,1535 - 1537,aliciakirchner,KirchnerAlicia,aliciakirchner,552,295400
Fernández sagasti,Anabel,MENDOZA,2021-12-10,2027-12-09,FRENTE DE TODOS,UNIDAD CIUDADANA,EN CONTRA,,anabel.fernandezsagasti@senado.gob.ar,1535 / 1467,anabelfsagasti,anabelfsagasti,anabelfsagasti,3113,58100
Cristina,Andrea marcela,CHUBUT,2023-12-10,2027-12-09,JUNTOS POR EL CAMBIO CHUBUT,SIN ESPECIFICAR,SIN DATOS,,andrea.cristina@senado.gob.ar,,AndyCristina07,AndreaCristina.Chubut,andreacristina.chubut,1189,567
Rodas,Antonio josé,CHACO,2019-12-10,2025-12-09,FRENTE DE TODOS,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,antonio.rodas@senado.gob.ar,1355 / 1357,antoniorodasok,,antoniojose.rodas,339,1480
Arce,Carlos omar,MISIONES,2023-12-10,2029-12-09,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,SIN DATOS,,carlos.arce@senado.gob.ar,,Arce_Carlos_,DrCarlosOmarArce,drcarlosarce_,827,8890
Abdala,Bartolomé esteban,SAN LUIS,2023-12-10,2029-12-09,ALIANZA LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,A FAVOR,por ser de LLA,bartolome.abdala@senado.gob.ar,,bartoloabdala,BartoloAbdalaOficial,abdalabartolome,9,81
Ávila,Beatriz luisa,TUCUMÁN,2021-12-10,2027-12-09,JUNTOS POR EL CAMBIO,POR LA JUSTICIA SOCIAL,SIN DATOS,,beatriz.avila@senado.gob.ar,3508 / 3309,beatriz_avilaok,beatrizavilaok,beatrizavilaok,1398,7425
Blanco,Pablo daniel,TIERRA DEL FUEGO,2019-12-10,2025-12-09,JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,UNIÓN CÍVICA RADICAL,SIN DATOS,,pablo.blanco@senado.gob.ar,3462,blancopabloda,pablodanielblancosenador,blancopablodaniel,740,2682
Olivera lucero,Bruno antonio,SAN JUAN,2023-12-10,2029-12-09,ALIANZA LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,A FAVOR,por ser de LLA,bruno.olivera@senado.gob.ar,,brunooliverasj,,,89,143
Álvarez rivero,Carmen,CÓRDOBA,2021-12-10,2027-12-09,JUNTOS POR EL CAMBIO,FRENTE PRO,SIN DATOS,,carmen.alvarez@senado.gob.ar,1393 / 1383,CarmenAlvarezR,CarmenAlvarezRiveroOficial,carmenalvarezrivero,613,2015
Losada,Carolina,SANTA FE,2021-12-10,2027-12-09,JUNTOS POR EL CAMBIO,UNIÓN CÍVICA RADICAL,SIN DATOS,,carolina.losada@senado.gob.ar,5421 / 1426 / 1423,carolinalosada,carolosada,carolosada,2373,131000
Moises,María carolina,JUJUY,2023-12-10,2029-12-09,ALIANZA UNIÓN POR LA PATRIA,UNIDAD CIUDADANA,EN CONTRA,,maria.moises@senado.gob.ar,,CarolinaMoises,LicCarolinaMoises,carojujuy,12400,16600
Ledesma abdala de zamora,Claudia,SANTIAGO DEL ESTERO,2019-12-10,2025-12-09,FRENTE CÍVICO POR SANTIAGO,FRENTE NACIONAL Y POPULAR,EN CONTRA,por ser de uxp,claudia.ledesma@senado.gob.ar,8866 / 8835 / 8763 / 8834,ClaudiaLAZamora,ClaudiaLAZamora,claudiazamorasde,22,4392
Rojas decut,Sonia elizabeth,MISIONES,2023-12-10,2029-12-09,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,SIN DATOS,,sonia.rojas@senado.gob.ar,,decutrojas,Sonia-Rojas-Decut,soniarojasdecut,276,1988
